"UberEats_startTime,UberEats_endTime,UberEats_restaurant_info/b_name,UberEats_restaurant_info/vb_name,GrubHub_startTime,GrubHub_endTime,GrubHub_restaurant_info/b_name,GrubHub_restaurant_info/vb_name,is_out_of_range"
",,Lemon Tree Gourmet Deli,Mary's Omelette Bar,00:00:00.000,00:00:00.000,Lemon Tree Gourmet Deli,Mary's Omelette Bar,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,Mary's Omelette Bar,06:00:00.000,00:00:00.000,Lemon Tree Gourmet Deli,Mary's Omelette Bar,Out of Range with 5 mins difference"
",,Mr. Pizza Man,Luigi's Pasta Ristorante,11:00:00.000,00:00:00.000,Mr. Pizza Man,Luigi's Pasta Ristorante,Out of Range with 5 mins difference"
",,Mr. Pizza Man,Luigi's Pasta Ristorante,11:00:00.000,00:00:00.000,Mr. Pizza Man,Luigi's Pasta Ristorante,Out of Range with 5 mins difference"
",,Mr. Pizza Man,Luigi's Pasta Ristorante,11:00:00.000,00:00:00.000,Mr. Pizza Man,Luigi's Pasta Ristorante,Out of Range with 5 mins difference"
",,Mr. Pizza Man,Luigi's Pasta Ristorante,11:00:00.000,00:00:00.000,Mr. Pizza Man,Luigi's Pasta Ristorante,Out of Range with 5 mins difference"
",,Mr. Pizza Man,Luigi's Pasta Ristorante,11:00:00.000,00:00:00.000,Mr. Pizza Man,Luigi's Pasta Ristorante,Out of Range with 5 mins difference"
",,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,10:30:00.000,01:00:00.000,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,Out of Range with 5 mins difference"
",,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,11:00:00.000,01:00:00.000,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,Out of Range with 5 mins difference"
",,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,11:00:00.000,01:00:00.000,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,Out of Range with 5 mins difference"
",,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,11:00:00.000,01:00:00.000,Saran Brothers LLC dba Original Picken Chicken,High Life Pizzas,Out of Range with 5 mins difference"
",,Sicilian Pizza & Pasta - 327 Union St,Roman's Pizza Oven,00:00:00.000,00:00:00.000,Sicilian Pizza & Pasta - 327 Union St,Roman's Pizza Oven,Out of Range with 5 mins difference"
",,Sicilian Pizza & Pasta - 327 Union St,Roman's Pizza Oven,00:00:00.000,00:00:00.000,Sicilian Pizza & Pasta - 327 Union St,Roman's Pizza Oven,Out of Range with 5 mins difference"
",,Sicilian Pizza & Pasta - 327 Union St,Roman's Pizza Oven,00:00:00.000,00:00:00.000,Sicilian Pizza & Pasta - 327 Union St,Roman's Pizza Oven,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,The Salad God,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,The Salad God,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,The Salad God,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,The Salad God,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,The Salad God,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,The Salad God,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,The Salad God,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,The Salad God,Out of Range with 5 mins difference"
",,1 Up Bistro,The Bagel Savage,06:00:00.000,20:00:00.000,1 Up Bistro,The Bagel Savage,Out of Range with 5 mins difference"
",,1 Up Bistro,The Bagel Savage,06:00:00.000,20:00:00.000,1 Up Bistro,The Bagel Savage,Out of Range with 5 mins difference"
",,1 Up Bistro,The Bagel Savage,06:00:00.000,20:00:00.000,1 Up Bistro,The Bagel Savage,Out of Range with 5 mins difference"
",,1 Up Bistro,The Bagel Savage,06:00:00.000,20:00:00.000,1 Up Bistro,The Bagel Savage,Out of Range with 5 mins difference"
",,Desi Deli,Desi Dhaba Breakfast,00:00:00.000,00:59:59.999,Desi Deli,Desi Dhaba Breakfast,Out of Range with 5 mins difference"
",,Desi Deli,Desi Dhaba Breakfast,00:00:00.000,00:00:00.000,Desi Deli,Desi Dhaba Breakfast,Out of Range with 5 mins difference"
",,Desi Deli,Desi Dhaba Breakfast,00:00:00.000,00:00:00.000,Desi Deli,Desi Dhaba Breakfast,Out of Range with 5 mins difference"
",,Desi Deli,Desi Dhaba Breakfast,09:30:00.000,06:00:00.000,Desi Deli,Desi Dhaba Breakfast,Out of Range with 5 mins difference"
",,Mi Yucatan,Fresh Sailor Seafood,06:00:00.000,19:00:00.000,Mi Yucatan,Fresh Sailor Seafood,Out of Range with 5 mins difference"
",,Mi Yucatan,Fresh Sailor Seafood,09:00:00.000,20:30:00.000,Mi Yucatan,Fresh Sailor Seafood,Out of Range with 5 mins difference"
",,Mi Yucatan,Fresh Sailor Seafood,09:00:00.000,22:00:00.000,Mi Yucatan,Fresh Sailor Seafood,Out of Range with 5 mins difference"
",,Mi Yucatan,Fresh Sailor Seafood,09:00:00.000,22:00:00.000,Mi Yucatan,Fresh Sailor Seafood,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Sandwich Slut,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Sandwich Slut,Out of Range with 5 mins difference"
